init_tom,resp_tom,init_lr,resp_lr,init_canLie,resp_canLie,init_initPoints,resp_respPoints,init_finalPoints,resp_finalPoints,init_gain,resp_gain,nr_offers,outcome_is_PE,passed_time
2,1,0.5,0.5,false,false,300,350,798,948,498,598,2,true,-1.0
2,1,0.5,0.5,false,false,200,300,898,848,698,548,2,true,-1.0
2,1,0.5,0.5,false,false,350,250,347,247,-3,-3,3,true,-1.0
2,1,0.5,0.5,false,false,200,300,298,798,98,498,2,true,-1.0
2,1,0.5,0.5,false,false,250,250,299,799,49,549,1,true,-1.0
2,1,0.5,0.5,false,false,250,250,299,799,49,549,1,true,-1.0
2,2,0.5,0.5,true,true,300,300,798,898,498,598,2,true,454.093
2,2,0.5,0.5,true,true,300,300,798,348,498,48,2,true,-1.0
2,2,0.5,0.5,true,true,850,250,849,249,-1,-1,1,true,-1.0
2,2,0.5,0.5,true,true,200,300,199,299,-1,-1,1,true,-1.0
2,2,0.5,0.5,true,true,350,300,948,798,598,498,2,true,-1.0
2,2,0.5,0.5,true,true,250,250,298,798,48,548,2,true,-1.0
2,2,0.5,0.5,true,true,850,300,850,300,0,0,0,true,-1.0
2,2,0.5,0.5,true,true,850,250,850,250,0,0,0,true,-1.0
2,2,0.5,0.5,true,true,250,850,249,849,-1,-1,1,true,-1.0
2,2,0.5,0.5,true,true,850,300,850,300,0,0,0,true,-1.0
2,2,0.5,0.5,true,false,850,300,849,299,-1,-1,1,true,404.037
2,2,0.5,0.5,true,false,350,850,350,850,0,0,0,true,-1.0
2,2,0.5,0.5,true,false,350,250,399,799,49,549,1,true,-1.0
2,2,0.5,0.5,true,false,250,350,249,349,-1,-1,1,true,-1.0
2,2,0.5,0.5,true,false,200,250,198,248,-2,-2,2,true,-1.0
2,2,0.5,0.5,true,false,850,300,849,299,-1,-1,1,true,-1.0
2,2,0.5,0.5,true,false,250,350,249,349,-1,-1,1,true,-1.0
2,2,0.5,0.5,true,false,850,300,899,799,49,499,1,true,-1.0
2,2,0.5,0.5,true,false,850,200,850,200,0,0,0,true,-1.0
2,2,0.5,0.5,true,false,300,200,398,798,98,598,2,true,-1.0
2,2,0.5,0.5,false,true,200,850,199,849,-1,-1,1,true,171.643
2,2,0.5,0.5,false,true,350,300,899,899,549,599,1,true,-1.0
2,2,0.5,0.5,false,true,350,250,899,899,549,649,1,true,-1.0
2,2,0.5,0.5,false,true,300,850,299,849,-1,-1,1,true,-1.0
2,2,0.5,0.5,false,true,300,250,798,298,498,48,2,false,-1.0
2,2,0.5,0.5,false,true,250,200,246,196,-4,-4,4,true,-1.0
2,2,0.5,0.5,false,true,200,300,198,298,-2,-2,2,true,-1.0
2,2,0.5,0.5,false,true,250,200,250,200,0,0,0,true,-1.0
2,2,0.5,0.5,false,true,200,200,249,249,49,49,1,true,-1.0
2,2,0.5,0.5,false,true,350,250,398,798,48,548,2,true,-1.0
2,2,0.5,0.5,false,false,300,300,299,299,-1,-1,1,true,89.994
2,2,0.5,0.5,false,false,850,200,899,249,49,49,1,true,-1.0
2,2,0.5,0.5,false,false,300,300,296,296,-4,-4,4,true,-1.0
2,2,0.5,0.5,false,false,850,250,850,250,0,0,0,true,-1.0
2,2,0.5,0.5,false,false,850,850,849,849,-1,-1,1,true,-1.0
2,2,0.5,0.5,false,false,200,850,248,898,48,48,2,true,-1.0
2,2,0.5,0.5,false,false,350,200,350,200,0,0,0,true,-1.0
2,2,0.5,0.5,false,false,300,250,799,299,499,49,1,true,-1.0
2,2,0.5,0.5,false,false,200,300,199,299,-1,-1,1,true,-1.0
2,2,0.5,0.5,false,false,250,900,249,899,-1,-1,1,true,-1.0
0,0,0.5,0.5,false,false,300,250,797,347,497,97,3,true,0.199
0,0,0.5,0.5,false,false,350,200,348,198,-2,-2,2,true,-1.0
0,0,0.5,0.5,false,false,300,250,797,897,497,647,3,true,-1.0
0,0,0.5,0.5,false,false,300,200,297,197,-3,-3,3,true,-1.0
0,0,0.5,0.5,false,false,850,300,896,796,46,496,4,true,-1.0
0,0,0.5,0.5,false,false,300,250,797,297,497,47,3,true,-1.0
0,0,0.5,0.5,false,false,250,900,247,897,-3,-3,3,true,-1.0
0,0,0.5,0.5,false,false,300,250,346,796,46,546,4,false,-1.0
0,0,0.5,0.5,false,false,300,250,297,247,-3,-3,3,true,-1.0
0,0,0.5,0.5,false,false,300,300,296,296,-4,-4,4,true,-1.0
0,1,0.5,0.5,false,false,850,300,846,296,-4,-4,4,true,0.267
0,1,0.5,0.5,false,false,300,250,296,246,-4,-4,4,false,-1.0
0,1,0.5,0.5,false,false,250,300,246,296,-4,-4,4,true,-1.0
0,1,0.5,0.5,false,false,200,250,248,798,48,548,2,false,-1.0
0,1,0.5,0.5,false,false,350,300,898,898,548,598,2,true,-1.0
0,1,0.5,0.5,false,false,250,350,797,947,547,597,3,true,-1.0
0,1,0.5,0.5,false,false,300,300,348,798,48,498,2,true,-1.0
0,1,0.5,0.5,false,false,300,850,297,847,-3,-3,3,true,-1.0
0,1,0.5,0.5,false,false,300,250,799,349,499,99,1,true,-1.0
0,1,0.5,0.5,false,false,850,250,846,246,-4,-4,4,true,-1.0
0,2,0.5,0.5,false,true,200,200,799,249,599,49,1,true,361.074
0,2,0.5,0.5,false,true,250,300,799,349,549,49,1,true,-1.0
0,2,0.5,0.5,false,true,200,250,197,247,-3,-3,3,true,-1.0
0,2,0.5,0.5,false,true,300,200,799,249,499,49,1,true,-1.0
0,2,0.5,0.5,false,true,250,300,298,798,48,498,2,true,-1.0
0,2,0.5,0.5,false,true,300,200,346,246,46,46,4,true,-1.0
0,2,0.5,0.5,false,true,300,200,296,196,-4,-4,4,true,-1.0
0,2,0.5,0.5,false,true,850,300,898,798,48,498,2,true,-1.0
0,2,0.5,0.5,false,true,200,300,248,348,48,48,2,true,-1.0
0,2,0.5,0.5,false,true,350,200,346,196,-4,-4,4,true,-1.0
0,2,0.5,0.5,false,false,300,300,296,296,-4,-4,4,true,60.657
0,2,0.5,0.5,false,false,300,250,346,296,46,46,4,true,-1.0
0,2,0.5,0.5,false,false,350,850,346,846,-4,-4,4,true,-1.0
0,2,0.5,0.5,false,false,250,200,799,349,549,149,1,true,-1.0
0,2,0.5,0.5,false,false,300,350,296,346,-4,-4,4,true,-1.0
0,2,0.5,0.5,false,false,300,300,296,296,-4,-4,4,true,-1.0
0,2,0.5,0.5,false,false,200,300,799,399,599,99,1,true,-1.0
